Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
12/08/2021,01/01/2020,12/04/2021,Female,<1 Year,16320,71
12/08/2021,01/01/2020,12/04/2021,Female,01 Year,1176,12
12/08/2021,01/01/2020,12/04/2021,Female,02 Years,738,6
12/08/2021,01/01/2020,12/04/2021,Female,03 Years,544,8
12/08/2021,01/01/2020,12/04/2021,Female,04 Years,478,9
12/08/2021,01/01/2020,12/04/2021,Female,05 Years,400,4
12/08/2021,01/01/2020,12/04/2021,Female,06 Years,382,7
12/08/2021,01/01/2020,12/04/2021,Female,07 Years,373,6
12/08/2021,01/01/2020,12/04/2021,Female,08 Years,349,8
12/08/2021,01/01/2020,12/04/2021,Female,09 Years,321,9
12/08/2021,01/01/2020,12/04/2021,Female,10 Years,352,6
12/08/2021,01/01/2020,12/04/2021,Female,11 Years,395,7
12/08/2021,01/01/2020,12/04/2021,Female,12 Years,495,10
12/08/2021,01/01/2020,12/04/2021,Female,13 Years,607,16
12/08/2021,01/01/2020,12/04/2021,Female,14 Years,691,19
12/08/2021,01/01/2020,12/04/2021,Female,15 Years,831,29
12/08/2021,01/01/2020,12/04/2021,Female,16 Years,1023,26
12/08/2021,01/01/2020,12/04/2021,Female,17 Years,1224,37
12/08/2021,01/01/2020,12/04/2021,Female,18 Years,1673,45
12/08/2021,01/01/2020,12/04/2021,Female,19 Years,1789,74
12/08/2021,01/01/2020,12/04/2021,Female,20 Years,1995,83
12/08/2021,01/01/2020,12/04/2021,Female,21 Years,2255,83
12/08/2021,01/01/2020,12/04/2021,Female,22 Years,2320,135
12/08/2021,01/01/2020,12/04/2021,Female,23 Years,2570,133
12/08/2021,01/01/2020,12/04/2021,Female,24 Years,2669,151
12/08/2021,01/01/2020,12/04/2021,Female,25 Years,2974,176
12/08/2021,01/01/2020,12/04/2021,Female,26 Years,3191,185
12/08/2021,01/01/2020,12/04/2021,Female,27 Years,3512,228
12/08/2021,01/01/2020,12/04/2021,Female,28 Years,3767,250
12/08/2021,01/01/2020,12/04/2021,Female,29 Years,4230,287
12/08/2021,01/01/2020,12/04/2021,Female,30 Years,4573,379
12/08/2021,01/01/2020,12/04/2021,Female,31 Years,4700,404
12/08/2021,01/01/2020,12/04/2021,Female,32 Years,5070,437
12/08/2021,01/01/2020,12/04/2021,Female,33 Years,5384,450
12/08/2021,01/01/2020,12/04/2021,Female,34 Years,5466,473
12/08/2021,01/01/2020,12/04/2021,Female,35 Years,5857,527
